YYYY,MM,DD,TIME,TEMP,DOMAN,PH,NH3,H2S,TSS,DO,COD
2020,3,2,11h05,28,32,8,0.01,0,10,6.3,4.1
2020,3,2,10h50,28,32,8,0.01,0,3.4,6.4,3.3
2020,3,2,10h30,28,35,8,0.02,0.002,9.6,5.6,4.1
2020,3,2,9h00,27,34,8.1,0.05,0.003,5.8,5.8,4.1
2020,3,2,8h50,27,34,8.2,0.01,0.002,6.2,6,3.6
2020,3,2,10h30,27,13,7.6,0.14,0.002,6.2,6.1,10.2
2020,3,2,10h40,27,33,8.1,0.01,0.002,2.6,4.6,8.5
2020,3,2,13h05,26,27,7.7,0.01,0.002,3.8,3.9,7.2
2020,3,2,13h30,27,10,7.6,0.21,0.001,6.2,3.8,6.4
2020,3,2,7h55,27,3,7,0.22,0.002,4.1,5.9,7.4
2020,3,2,7h40,27,4,6.7,0.61,0.004,10.8,4.6,8.4
2020,3,2,8h20,27,3,6.7,0.33,0.003,7,4.6,6.1
2020,3,2,,27,35,7.8,0.06,0.003,2,5.1,2.3
2020,3,2,,26,35,7.9,0.08,0.004,8.7,5,3.3
2020,3,2,,26,35,7.9,0.03,0.004,3.6,4.5,2.3
2020,3,2,,26.5,35,8.2,0.01,0.003,3.2,6.2,3.3
2020,3,2,,26,35,8.1,0.01,0.003,5.1,5.6,3.8
2020,3,2,,26,35,8.1,0.01,0.003,8.1,4.9,3.8
2020,3,2,,27,35,8.1,0.01,0.004,2.2,6.2,2.6
2020,3,2,,26,35,8.1,0.01,0,6.2,5.9,2.3
2020,3,2,,26,35,8.1,0.01,0,6.7,5.6,2.6
2020,3,2,,27,35,8.1,0.01,0,4.3,6.1,2.3
2020,3,2,,26.5,35,8.1,0.01,0,5.5,5.8,2.3
2020,3,2,,26,35,8.1,0.01,0,1.1,5.7,2.6
2020,3,16,11h55,31,35,8,0.01,0.004,5.9,5.9,3.6
2020,3,16,11h30,31,35,8,0.01,0.004,6.7,6.2,3.6
2020,3,16,11h00,29,35,8,0.01,0.004,9.6,5.8,4.6
2020,3,16,10h10,28,35,8.2,0.01,0.005,11.4,6.3,5.1
2020,3,16,9h30,28.5,35,8.2,0.01,0.004,11.9,6.2,3.8
2020,3,16,10h10,27,23,7.9,0.01,0.001,4,4.8,6.1
2020,3,16,10h30,26,35,7.9,0.02,0.002,6.8,4.8,6.4
2020,3,16,14h15,28,12,7.3,0.04,0.005,4.6,5,8.4
2020,3,16,14h35,28,28,7.6,0.54,0.005,6.1,3.6,8.7
2020,3,16,7h50,28.5,5,7.2,0.16,0.005,3.7,5.5,8.7
2020,3,16,7h30,29.5,4,7.1,0.17,0.007,8.7,5.2,12
2020,3,16,7h40,29.5,1,6.1,0.02,0.006,8.7,4.2,8.7
2020,3,16,9h00,27,35,8,0.01,0,4,5.8,2.9
2020,3,16,9h30,26,35,8,0.02,0,7.4,4.2,2.3
2020,3,16,,26,35,8,0.01,0.002,7.8,3.9,2.6
2020,3,16,,27,35,8.1,0.01,0,5.1,6.2,2.8
2020,3,16,,27,35,8.1,0.01,0,3.7,5.8,2.8
2020,3,16,,26,35,8,0.01,0.005,8.7,4.6,5.2
2020,3,16,,27,35,8,0.01,0.001,10.4,6,4.6
2020,3,16,,26,35,8,0.01,0.005,5.8,4.8,4.6
2020,3,16,,25,35,8,0.02,0.002,8.1,4.2,3.6
2020,3,16,,27,35,8.1,0.01,0.003,5.9,6.1,3.8
2020,3,16,,26,35,8.1,0.01,0,6,5.9,2.6
2020,3,16,,26,35,8,0.01,0.001,4.4,4.2,2.3
2020,3,30,11h10,31,35,7.9,0.01,0,4.8,5.1,3.3
2020,3,30,11h00,31,35,8,0.01,0,5.6,6.4,4.6
2020,3,30,10h50,30,35,8,0.01,0.001,9.5,5.8,5.1
2020,3,30,10h20,29,35,8.1,0.01,0.001,9,6.1,3.3
2020,3,30,10h00,30,33,8.2,0.02,0.005,6.1,6.2,3.6
2020,3,30,10h30,28,8,8.2,0.04,0.003,5,4.4,9.7
2020,3,30,10h15,29,35,7.9,0.01,0.005,4.1,3.5,7.4
2020,3,30,15h20,28.5,28,7.8,0.15,0,7.1,5.4,7.7
2020,3,30,15h35,28,11,7.7,0.01,0,3.3,5.2,7.4
2020,3,30,7h40,29,10,7.9,0.02,0.005,7.3,4.4,12.8
2020,3,30,7h30,29,6,7,0.56,0.006,9.8,5,7.2
2020,3,30,8h25,29.5,3,6.2,0.03,0.006,11,4.4,7.7
2020,3,30,10h10,28,35,8,0.01,0,3.1,5.7,2.8
2020,3,30,9h30,27,35,8,0.02,0,5,5.3,2.6
2020,3,30,,26,35,8,0.01,0,7.5,4.4,2.8
2020,3,30,,29,35,8.1,0.01,0,6.6,6.2,4.9
2020,3,30,,29,35,8.1,0.01,0,4.2,5.8,4.1
2020,3,30,,28,35,8.1,0.01,0,7.3,4.7,4.1
2020,3,30,,29,35,8.2,0.01,0,5.3,6.2,7.7
2020,3,30,,28,35,8.2,0.01,0,9.6,5.8,6.9
2020,3,30,,28,35,8.1,0.03,0,4.4,4.7,5.6
2020,3,30,,28,35,8.2,0.01,0,5.3,6,6.4
2020,3,30,,27,35,8.1,0.01,0,5.5,5.8,6.1
2020,3,30,,27,35,8.1,0.02,0,4.5,4.5,5.8
2020,4,6,10h30,29.5,35,8.2,0.01,0.004,5.2,6.1,5.1
2020,4,6,,30,35,8.2,0.02,0.004,6.3,5.8,3.8
2020,4,6,,30,35,8.1,0.03,0.006,7.2,5.2,5.1
2020,4,6,11h20,30,35,8.3,0.01,0.002,11.1,6.1,10.2
2020,4,6,,29.5,35,8.2,0.02,0.006,6.1,5.6,7.4
2020,4,6,,29.5,35,8.2,0.02,0.007,3,5,7.2
2020,4,20,11h55,31,35,8,0.01,0,8.4,6.3,4.1
2020,4,20,11h20,30.5,35,8.1,0.01,0.001,16.8,6.4,5.1
2020,4,20,11h00,30,34,8,0.01,0,15.1,4.5,5.6
2020,4,20,10h00,30.5,35,8,0.03,0,5.3,5.2,4.1
2020,4,20,9h00,30.5,33,8.2,0.02,0,8.9,5,3.8
2020,4,20,10h30,28.5,35,7.8,0.01,0,1.2,5.5,8.4
2020,4,20,10h20,29,35,8.2,0.01,0,3.5,3.6,6.9
2020,4,20,13h30,30,27,7.3,0.4,0.002,5.7,3.2,13.1
2020,4,20,13h45,29,10,7.9,0.13,0,1.5,6.3,7.4
2020,4,20,7h25,30,8,7.2,0.34,0.008,2.6,4.2,12.8
2020,4,20,7h15,31,4,7.1,0.43,0.009,1.5,5.2,10.2
2020,4,20,9h20,30,2,6.3,0.31,0.005,4.8,4.6,8.4
2020,4,20,10h00,28,35,8,0.01,0.004,6.7,5.1,3.6
2020,4,20,10h10,27,35,8,0.11,0.001,13.2,4.2,2.6
2020,4,20,,27,35,8,0.07,0.002,12.5,3.9,2.8
2020,4,20,,29,35,8.1,0.01,0.004,7.1,6.2,3.6
2020,4,20,,28.5,35,8.1,0.01,0.004,7.6,5.7,4.1
2020,4,20,,28.5,35,8.1,0.01,0.003,4.1,5.2,3.6
2020,4,20,,29,35,8,0.09,0.005,9.4,6.1,6.4
2020,4,20,,28,35,8.1,0.01,0.006,9.1,5.6,6.4
2020,4,20,,28,35,8.1,0.01,0.008,10,5.1,5.6
2020,4,20,,28,35,8.2,0.01,0.005,4.5,6.2,4.6
2020,4,20,,27.5,35,8.2,0.01,0.005,12,5.7,3.3
2020,4,20,,27,35,8.2,0.01,0.007,3.5,5.1,3.1
2020,4,27,,27,35,8.1,0.02,0,7.8,5.5,5.1
2020,4,27,,26.5,35,8.1,0.02,0.005,9,5.3,4.4
2020,4,27,,26.5,35,8.1,0.01,0.006,11,5.1,4.1
2020,4,27,,27,35,8,0.02,0.005,7.7,5,4.1
2020,4,27,,27,35,7.9,0.07,0.002,8.7,4.2,3.8
2020,4,27,,26.5,35,7.9,0.08,0.003,5.9,3.1,4.4
2020,4,27,,27,35,8,0.01,0.008,11.6,6.2,4.1
2020,4,27,,27,35,8.1,0.02,0.002,12.4,5.7,5.1
2020,4,27,,26.5,35,8.1,0.02,0.001,11.9,5.4,5.6
2020,4,27,,27,35,8,0.01,0.005,14.4,5.8,2.8
2020,4,27,,27,35,8,0.01,0,10.4,5.6,3.8
2020,4,27,,26,35,8,0.02,0.001,7.8,5.3,2.8
2020,5,4,11h55,32,31,8,0.01,0.004,9.6,5.7,5.6
2020,5,4,11h40,32,31,8,0.01,0.006,9.3,6.4,5.9
2020,5,4,11h15,32,34,8,0.08,0.006,9.2,5.8,5.4
2020,5,4,10h45,31,35,8.1,0.03,0.005,8.7,5.7,5.1
2020,5,4,9h40,31,35,8.3,0.02,0.006,16.7,6.4,7.7
2020,5,4,10h40,31,25,7.8,0.01,0.005,3,3.9,10.5
2020,5,4,10h30,31,35,8.5,0.01,0.01,8.9,6.4,10.2
2020,5,4,14h40,30,31,7.7,0.1,0.004,3.8,3.2,3.3
2020,5,4,15h00,30,30,8,0.05,0.006,8.8,6,7.7
2020,5,4,8h25,30,10,7.4,0.11,0.014,6.9,4.6,10.2
2020,5,4,8h10,31,5,7.1,0.1,0.02,5.1,5.5,17.4
2020,5,4,8h25,31,5,7,0.06,0.012,5.5,3.6,10.8
2020,5,4,9h20,29.5,35,8.1,0.01,0,12.6,6.2,4.9
2020,5,4,9h45,28,35,8,0.02,0.005,7.1,4.8,5.1
2020,5,4,,28,35,8,0.02,0.004,12.7,4.4,3.8
2020,5,4,,30,35,8.1,0.01,0.002,6.9,6.3,6.6
2020,5,4,,29,35,8.1,0.02,0,2.4,5.9,6.1
2020,5,4,,29,35,8.1,0.01,0,4.3,5.4,5.9
2020,5,4,,30,35,8.2,0.02,0.003,2.4,6.2,5.6
2020,5,4,,29.5,35,8.1,0.02,0.001,8.3,5.8,5.1
2020,5,4,,29,35,8.1,0.02,0,8,5.3,5.6
2020,5,4,,29,35,8.2,0.02,0,2.7,6.2,4.9
2020,5,4,,28,35,8.1,0.02,0.001,5.5,5.9,5.5
2020,5,4,,28,35,8.1,0.01,0.002,6.3,5.2,3.8
2020,5,11,10h35,30,31,8.1,0.01,0.004,11.2,6.2,4.9
2020,5,11,,30,34,8.1,0.01,0,10.5,5.6,5.4
2020,5,11,,29,34,8.1,0.04,0,6.2,5.4,6.1
2020,5,11,9h30,31,35,8.1,0.01,0,9.5,5.6,5.6
2020,5,11,,31,35,8.1,0.01,0,8,5.1,6.7
2020,5,11,,30,35,8.1,0.01,0.004,6.6,4.9,6.4
2020,5,11,10h30,31,35,8.2,0.01,0.003,11.6,6.1,8.1
2020,5,11,,31,35,8.2,0.01,0.004,6.7,5.5,7.9
2020,5,11,,30,35,8.2,0.01,0,2.8,5.3,8.4
2020,5,11,11h,30,35,8,0.01,0.003,4.7,6.1,3.3
2020,5,11,,29,35,8,0.01,0.001,4.9,5.7,3.8
2020,5,11,,29,35,8,0.01,0.007,5.1,5.3,4.4
2020,5,18,11h30,33,35,8.2,0.01,0.005,11.9,5.6,5.4
2020,5,18,11h15,3,35,8,0.01,0.011,7.2,6.5,5.1
2020,5,18,11h00,32,35,8.1,0.01,0.01,10.4,6.4,5.6
2020,5,18,10h25,31,35,8.1,0.01,0.002,9.4,4.9,5.1
2020,5,18,9h25,31,35,8.1,0.02,0.006,10.5,5.2,4.1
2020,5,18,10h00,31,35,8,0.01,0.006,12,3.5,8.4
