"Date","Hour","Temperature Number",,,,,,,,
01/04/14,"00:00",25,,,,,,,,"Mây một phần"
01/04/14,"00:30",25,,,,,,,,"Mây một phần"
01/04/14,"01:00",25,,,,,,,,"Mây một phần"
01/04/14,"01:30",24,,,,,,,,"Mây một phần"
01/04/14,"02:00",24,,,,,,,,"Mây một phần"
01/04/14,"02:30",24,,,,,,,,"Mây một phần"
01/04/14,"03:00",25,,,,,,,,"Mây một phần"
01/04/14,"03:30",25,,,,,,,,"Mây một phần"
01/04/14,"04:00",25,,,,,,,,"Mây một phần"
01/04/14,"04:30",25,,,,,,,,"Mây một phần"
01/04/14,"05:00",24,,,,,,,,"Mây một phần"
01/04/14,"05:30",24,,,,,,,,"Mây một phần"
01/04/14,"06:00",24,,,,,,,,"Mây một phần"
01/04/14,"06:30",25,,,,,,,,"Mây một phần"
01/04/14,"07:00",26,,,,,,,,"Mây một phần"
01/04/14,"07:30",27,,,,,,,,"Mây một phần"
01/04/14,"08:00",28,,,,,,,,"Mây một phần"
01/04/14,"08:30",29,,,,,,,,"Mây một phần"
01/04/14,"09:00",30,,,,,,,,"Mây một phần"
01/04/14,"09:30",30,,,,,,,,"Mây một phần"
01/04/14,"10:00",30,,,,,,,,"Mây một phần"
01/04/14,"10:30",30,,,,,,,,"Mây một phần"
01/04/14,"11:00",30,,,,,,,,"Mây một phần"
01/04/14,"11:30",29,,,,,,,,"Mây một phần"
01/04/14,"12:00",30,,,,,,,,"Mây một phần"
01/04/14,"12:30",30,,,,,,,,"Mây một phần"
01/04/14,"13:00",30,,,,,,,,"Mây một phần"
01/04/14,"13:30",30,,,,,,,,"Mây một phần"
01/04/14,"14:00",29,,,,,,,,"Mây một phần"
01/04/14,"14:30",28,,,,,,,,"Mây một phần"
01/04/14,"15:00",27,,,,,,,,"Mây một phần"
01/04/14,"15:30",27,,,,,,,,
01/04/14,"16:00",28,,,,,,,,"Mây một phần"
01/04/14,"16:30",28,,,,,,,,"Mây một phần"
01/04/14,"17:00",28,,,,,,,,"Mây một phần"
01/04/14,"17:30",28,,,,,,,,"Mây một phần"
01/04/14,"18:00",28,,,,,,,,"Mây một phần"
01/04/14,"18:30",27,,,,,,,,"Mây một phần"
01/04/14,"19:00",26,,,,,,,,"Mây một phần"
01/04/14,"19:30",26,,,,,,,,"Mây một phần"
01/04/14,"20:00",26,,,,,,,,"Mây một phần"
