"Date","Hour","Temperature Number",,,,,,,,,,"myself"
01/06/14,"00:00",28,,,,,,,,,,
01/06/14,"00:30",28,,,,,,,,,,
01/06/14,"01:00",28,,,,,,,,,,
01/06/14,"01:30",28,,,,,,,,,,
01/06/14,"02:00",28,,,,,,,,,,
01/06/14,"02:30",27,,,,,,,,,,
01/06/14,"03:00",27,,,,,,,,,,
01/06/14,"03:30",27,,,,,,,,,,
01/06/14,"04:00",26,,,,,,,,,,
01/06/14,"04:30",26,,,,,,,,,,
01/06/14,"05:00",26,,,,,,,,,,
01/06/14,"05:30",26,,,,,,,,,,
01/06/14,"06:00",27,,,,,,,,,,
01/06/14,"06:30",29,,,,,,,,,,
01/06/14,"07:00",30,,,,,,,,,,
01/06/14,"07:30",31,,,,,,,,,,
01/06/14,"08:00",32,,,,,,,,,,
01/06/14,"08:30",32,,,,,,,,,,
01/06/14,"09:00",33,,,,,,,,,,
01/06/14,"09:30",34,,,,,,,,,,
01/06/14,"10:00",33,,,,,,,,,,
01/06/14,"10:30",34,,,,,,,,,,
01/06/14,"11:00",34,,,,,,,,,,
01/06/14,"11:30",34,,,,,,,,,,
01/06/14,"12:00",34,,,,,,,,,,
01/06/14,"12:30",34,,,,,,,,,,
01/06/14,"13:00",33,,,,,,,,,,
01/06/14,"13:30",34,,,,,,,,,,
01/06/14,"14:00",33,,,,,,,,,,
01/06/14,"14:30",33,,,,,,,,,,
01/06/14,"15:00",33,,,,,,,,,,
01/06/14,"15:30",32,,,,,,,,,,
01/06/14,"16:00",32,,,,,,,,,,
01/06/14,"16:30",31,,,,,,,,,,
01/06/14,"17:00",31,,,,,,,,,,
01/06/14,"17:30",30,,,,,,,,,,
01/06/14,"18:00",30,,,,,,,,,,
01/06/14,"18:30",30,,,,,,,,,,
01/06/14,"19:00",29,,,,,,,,,,
01/06/14,"19:30",29,,,,,,,,,,
01/06/14,"20:00",29,,,,,,,,,,
01/06/14,"20:30",29,,,,,,,,,,
01/06/14,"21:00",29,,,,,,,,,,
01/06/14,"21:30",29,,,,,,,,,,
01/06/14,"22:00",28,,,,,,,,,,
01/06/14,"22:30",28,,,,,,,,,,
01/06/14,"23:00",27,,,,,,,,,,
01/06/14,"23:30",27,,,,,,,,,,
02/06/14,"00:00",27,,,,,,,,,,
02/06/14,"00:30",27,,,,,,,,,,
02/06/14,"01:00",26,,,,,,,,,,
02/06/14,"01:30",26,,,,,,,,,,
02/06/14,"02:00",26,,,,,,,,,,
02/06/14,"02:30",26,,,,,,,,,,
02/06/14,"03:00",26,,,,,,,,,,
02/06/14,"03:30",26,,,,,,,,,,
02/06/14,"04:00",26,,,,,,,,,,
02/06/14,"04:30",26,,,,,,,,,,
02/06/14,"05:00",25,,,,,,,,,,
02/06/14,"05:30",26,,,,,,,,,,
02/06/14,"06:00",27,,,,,,,,,,
02/06/14,"06:30",28,,,,,,,,,,
02/06/14,"07:00",30,,,,,,,,,,
02/06/14,"07:30",31,,,,,,,,,,
02/06/14,"08:00",32,,,,,,,,,,
02/06/14,"08:30",33,,,,,,,,,,
02/06/14,"09:00",34,,,,,,,,,,
02/06/14,"09:30",36,,,,,,,,,,
02/06/14,"10:00",35,,,,,,,,,,
02/06/14,"10:30",33,,,,,,,,,,
02/06/14,"11:00",34,,,,,,,,,,
02/06/14,"11:30",34,,,,,,,,,,
02/06/14,"12:00",35,,,,,,,,,,
02/06/14,"12:30",34,,,,,,,,,,
02/06/14,"13:00",35,,,,,,,,,,
02/06/14,"13:30",34,,,,,,,,,,
02/06/14,"14:00",34,,,,,,,,,,
02/06/14,"14:30",34,,,,,,,,,,
02/06/14,"15:00",33,,,,,,,,,,
02/06/14,"15:30",32,,,,,,,,,,
02/06/14,"16:00",32,,,,,,,,,,
02/06/14,"16:30",32,,,,,,,,,,
02/06/14,"17:00",31,,,,,,,,,,
02/06/14,"17:30",30,,,,,,,,,,
02/06/14,"18:00",29,,,,,,,,,,
02/06/14,"18:30",30,,,,,,,,,,
02/06/14,"19:00",30,,,,,,,,,,
02/06/14,"19:30",30,,,,,,,,,,
02/06/14,"20:00",30,,,,,,,,,,
02/06/14,"20:30",30,,,,,,,,,,
02/06/14,"21:00",30,,,,,,,,,,
02/06/14,"21:30",29,,,,,,,,,,
02/06/14,"22:00",29,,,,,,,,,,
02/06/14,"22:30",29,,,,,,,,,,
02/06/14,"23:00",29,,,,,,,,,,
02/06/14,"23:30",28,,,,,,,,,,
03/06/14,"00:00",28,,,,,,,,,,
03/06/14,"00:30",28,,,,,,,,,,
03/06/14,"01:00",27,,,,,,,,,,
03/06/14,"01:30",27,,,,,,,,,,
03/06/14,"02:00",27,,,,,,,,,,
03/06/14,"02:30",27,,,,,,,,,,
03/06/14,"03:00",26,,,,,,,,,,
03/06/14,"03:30",26,,,,,,,,,,
03/06/14,"04:00",26,,,,,,,,,,
03/06/14,"04:30",26,,,,,,,,,,
03/06/14,"05:00",26,,,,,,,,,,
03/06/14,"05:30",27,,,,,,,,,,
03/06/14,"06:00",27,,,,,,,,,,
03/06/14,"06:30",28,,,,,,,,,,
03/06/14,"07:00",29,,,,,,,,,,
03/06/14,"07:30",31,,,,,,,,,,
03/06/14,"08:00",31,,,,,,,,,,
03/06/14,"08:30",33,,,,,,,,,,
03/06/14,"09:00",33,,,,,,,,,,
03/06/14,"09:30",34,,,,,,,,,,
03/06/14,"10:00",35,,,,,,,,,,
03/06/14,"10:30",34,,,,,,,,,,
03/06/14,"11:00",34,,,,,,,,,,
03/06/14,"11:30",34,,,,,,,,,,
03/06/14,"12:00",35,,,,,,,,,,
03/06/14,"12:30",35,,,,,,,,,,
03/06/14,"13:00",34,,,,,,,,,,
03/06/14,"13:30",34,,,,,,,,,,
03/06/14,"14:00",32,,,,,,,,,,
03/06/14,"14:30",33,,,,,,,,,,
03/06/14,"15:00",32,,,,,,,,,,
03/06/14,"15:30",32,,,,,,,,,,
03/06/14,"16:00",32,,,,,,,,,,
03/06/14,"16:30",32,,,,,,,,,,
03/06/14,"17:00",31,,,,,,,,,,
03/06/14,"17:30",30,,,,,,,,,,
03/06/14,"18:00",30,,,,,,,,,,
03/06/14,"18:30",29,,,,,,,,,,
03/06/14,"19:00",29,,,,,,,,,,
03/06/14,"19:30",29,,,,,,,,,,
03/06/14,"20:00",29,,,,,,,,,,
03/06/14,"20:30",29,,,,,,,,,,
03/06/14,"21:00",28,,,,,,,,,,
03/06/14,"21:30",28,,,,,,,,,,
03/06/14,"22:00",28,,,,,,,,,,
03/06/14,"22:30",27,,,,,,,,,,
03/06/14,"23:00",27,,,,,,,,,,
03/06/14,"23:30",27,,,,,,,,,,
04/06/14,"00:00",27,,,,,,,,,,
04/06/14,"00:30",27,,,,,,,,,,
04/06/14,"01:00",27,,,,,,,,,,
04/06/14,"01:30",27,,,,,,,,,,
04/06/14,"02:00",27,,,,,,,,,,
04/06/14,"02:30",27,,,,,,,,,,
04/06/14,"03:00",27,,,,,,,,,,
04/06/14,"03:30",27,,,,,,,,,,
