"Date","Hour","Temperature Number"
01/02/14,"00:00",21
01/02/14,"00:30",20
01/02/14,"01:00",20
01/02/14,"01:30",20
01/02/14,"02:00",20
01/02/14,"02:30",20
01/02/14,"03:00",20
01/02/14,"03:30",20
01/02/14,"04:00",20
01/02/14,"04:30",20
01/02/14,"05:00",20
01/02/14,"05:30",19
01/02/14,"06:00",19
01/02/14,"06:30",19
01/02/14,"07:00",20
01/02/14,"07:30",20
01/02/14,"08:00",21
01/02/14,"08:30",21
01/02/14,"09:00",22
01/02/14,"09:30",22
01/02/14,"10:00",23
01/02/14,"10:30",23
01/02/14,"11:00",25
01/02/14,"11:30",24
01/02/14,"12:00",25
01/02/14,"12:30",25
01/02/14,"13:00",25
01/02/14,"13:30",24
01/02/14,"14:00",24
01/02/14,"14:30",25
01/02/14,"15:00",25
01/02/14,"15:30",25
01/02/14,"16:00",24
01/02/14,"16:30",24
01/02/14,"17:00",24
01/02/14,"17:30",23
01/02/14,"18:00",23
01/02/14,"18:30",23
01/02/14,"19:00",23
01/02/14,"19:30",23
01/02/14,"20:00",22
01/02/14,"20:30",22
01/02/14,"21:00",21
01/02/14,"21:30",21
01/02/14,"22:00",22
01/02/14,"22:30",22
01/02/14,"23:00",22
01/02/14,"23:30",21
02/02/14,"00:00",21
02/02/14,"00:30",21
02/02/14,"01:00",21
02/02/14,"01:30",21
02/02/14,"02:00",21
02/02/14,"02:30",21
02/02/14,"03:00",21
02/02/14,"03:30",21
02/02/14,"04:00",21
02/02/14,"04:30",21
02/02/14,"05:00",21
02/02/14,"05:30",20
02/02/14,"06:00",20
02/02/14,"06:30",20
02/02/14,"07:00",20
02/02/14,"07:30",21
02/02/14,"08:00",22
02/02/14,"08:30",23
02/02/14,"09:00",24
02/02/14,"09:30",25
02/02/14,"10:00",26
02/02/14,"10:30",25
02/02/14,"11:00",26
02/02/14,"11:30",27
02/02/14,"12:00",27
02/02/14,"12:30",26
02/02/14,"13:00",27
02/02/14,"13:30",27
